,goodForGroups,city,state,latitude,longitude,stars,reviewCount,checkins,open,alcohol,noiseLevel,attire,priceRange,delivery,waiterService,smoking,outdoorSeating,caters,goodForKids
2219,0,Montreal,QC,45.523849,-73.5826878,2.5,3,6,True,none,,,,,,,,,
17738,1,Henderson,NV,36.0220804,-115.1176266,3.0,44,129,False,beer_and_wine,average,casual,2.0,False,False,,False,False,
2982,1,Monona,WI,43.048755,-89.325947,2.0,8,8,True,full_bar,average,casual,2.0,,True,,,,
8344,1,Matthews,NC,35.125605,-80.7293229,2.5,10,24,False,none,,casual,1.0,False,True,,False,,
6577,1,Montral,QC,45.5223645,-73.6025347,4.0,5,17,True,none,average,casual,1.0,False,True,,True,,
15356,0,Las Vegas,NV,36.1931903,-115.3037626,3.5,23,81,False,none,,,1.0,,,,True,,
3894,1,Pittsburgh,PA,40.4426692,-79.998918,3.5,14,10,True,none,quiet,casual,1.0,,True,,False,,
2440,1,Las Vegas,NV,35.9952905,-115.2068006,3.0,8,7,False,none,,casual,2.0,,False,,,,
17380,1,Charlotte,NC,35.21988711,-80.94492508,3.0,16,120,True,full_bar,average,casual,2.0,False,,,False,False,
14301,1,Concord,NC,35.3652981,-80.7112942,3.0,22,68,True,full_bar,loud,casual,2.0,False,False,yes,True,False,
18858,0,Montral,QC,45.5158841,-73.5755302,3.5,82,164,True,full_bar,loud,casual,2.0,False,True,outdoor,True,False,
6427,1,Mesa,AZ,33.393234,-111.8620014,3.0,20,17,False,beer_and_wine,loud,casual,1.0,False,False,,False,False,
3996,1,Phoenix,AZ,33.457118,-112.0898162,3.5,49,10,False,none,,casual,1.0,True,True,,True,,
10678,1,Madison,WI,43.0931063,-89.3504214,3.5,15,36,True,full_bar,very_loud,,1.0,,,no,False,,
8120,1,Las Vegas,NV,36.1248998,-115.1350531,4.0,5,23,True,none,,,,False,,,False,,
13105,1,Las Vegas,NV,36.1274245,-115.170815,3.5,25,55,True,none,loud,casual,1.0,False,False,,False,False,
7986,0,Chandler,AZ,33.276673,-111.791793,3.5,17,23,True,none,average,casual,1.0,True,False,,True,True,
18035,1,Cave Creek,AZ,33.7428028,-111.9782693,4.0,85,138,True,full_bar,average,casual,2.0,False,True,,False,True,
13892,0,Peoria,AZ,33.6110872,-112.222223,2.0,6,62,True,none,,,2.0,,,,,,
11536,1,Charlotte,NC,35.216323,-80.821777,3.0,19,42,False,beer_and_wine,average,casual,1.0,False,,,False,,
13446,1,Las Vegas,NV,36.1141241,-115.3087109,4.5,28,58,True,none,quiet,casual,2.0,True,True,,False,True,
15157,0,Henderson,NV,36.03660683,-114.9767303,4.5,27,78,False,none,,,1.0,,,,,,
19041,1,Phoenix,AZ,33.5800411,-112.1246212,3.0,53,171,False,full_bar,quiet,casual,2.0,False,True,,True,True,True
14244,1,Goodyear,AZ,33.4771441,-112.3590618,2.5,20,67,True,none,average,casual,2.0,False,False,,False,False,
17497,1,Pittsburgh,PA,40.428274,-79.976821,3.5,40,123,True,none,quiet,casual,2.0,True,True,,False,False,
3548,0,Brossard,QC,45.4748526,-73.466874,3.0,6,9,True,full_bar,average,,2.0,True,,,,,
6248,1,Las Vegas,NV,36.150704,-115.15304,4.5,7,16,True,none,quiet,casual,2.0,True,True,,False,,
15658,1,Las Vegas,NV,36.10389158,-115.1693195,3.0,27,86,True,none,,casual,2.0,False,,,,,
8085,1,Las Vegas,NV,36.27165546,-115.2071016,2.0,4,23,True,none,average,casual,1.0,False,True,,False,,
9428,1,Charlotte,NC,35.139703,-80.935214,4.0,10,29,True,none,,formal,1.0,False,,,False,,
12087,1,Montreal,QC,45.5346093,-73.582772,4.0,32,46,True,beer_and_wine,average,casual,2.0,False,True,,True,,
4942,0,Scottsdale,AZ,33.5023394,-111.9276841,3.0,6,12,True,none,,,1.0,,,,,,
15435,1,Las Vegas,NV,36.072377,-115.2428612,2.5,16,83,True,none,quiet,casual,1.0,False,False,,True,True,
10427,1,Paradise Valley,AZ,33.52973436,-111.9725784,4.5,7,35,True,full_bar,average,casual,2.0,False,True,,True,,
1768,1,Phoenix,AZ,33.487608,-112.082516,2.5,7,6,False,beer_and_wine,average,casual,2.0,False,False,,False,False,
8245,0,Henderson,NV,36.01807022,-115.1185837,3.5,10,24,False,none,average,casual,1.0,False,True,,False,False,
5188,1,Montral,QC,45.4929942,-73.5564327,3.0,9,13,True,full_bar,average,dressy,3.0,False,,,False,,
4753,1,Scottsdale,AZ,33.4656072,-111.9291621,3.0,9,12,True,full_bar,quiet,casual,2.0,True,True,,False,,
15365,1,Henderson,NV,36.0638194,-115.0406799,3.0,36,82,True,full_bar,average,casual,2.0,False,False,,False,False,True
643,1,Gilbert,AZ,33.3355881,-111.7382864,2.5,5,4,False,full_bar,average,casual,2.0,False,False,,True,,
6696,1,Pittsburgh,PA,40.440034,-80.088996,3.5,3,18,True,full_bar,average,casual,2.0,True,True,,False,,
6572,1,Phoenix,AZ,33.507425,-112.0366323,3.5,9,17,True,full_bar,average,casual,3.0,False,,,True,,
14851,1,Phoenix,AZ,33.4483771,-112.0740373,3.5,38,74,False,full_bar,average,casual,2.0,True,False,,True,True,
11644,1,Phoenix,AZ,33.5098669,-112.0394971,3.5,51,43,True,full_bar,quiet,casual,3.0,False,False,,False,True,
10181,0,Glendale,AZ,33.6380104,-112.196647,4.0,15,33,True,none,,,2.0,,,,,,
6358,0,Pittsburgh,PA,40.4471989,-79.9471332,2.5,11,16,True,none,,,2.0,,,,,,
2003,0,Pittsburgh,PA,40.456127,-80.006524,4.0,5,6,True,none,average,casual,2.0,False,True,,False,,
17488,1,Cave Creek,AZ,33.8314777,-111.945564,3.0,63,123,True,full_bar,average,casual,2.0,False,True,,True,True,
11819,1,Las Vegas,NV,36.120094,-115.154214,4.0,14,44,False,full_bar,average,casual,2.0,False,True,,True,True,
12592,1,Goodyear,AZ,33.3526968,-112.4462967,4.5,18,50,True,beer_and_wine,average,casual,2.0,True,False,,True,True,
17923,1,Henderson,NV,36.0059362,-115.1125067,4.5,19,134,False,full_bar,average,casual,1.0,False,True,,False,,
11606,0,Glendale,AZ,33.655418,-112.153592,3.5,5,42,True,none,,casual,2.0,,False,,False,,
16243,0,Charlotte,NC,35.096682,-80.782374,2.5,13,96,True,none,,,1.0,,,,,,
14807,0,Las Vegas,NV,36.070776,-115.291582,3.5,21,73,True,none,,,2.0,True,,,,,
991,0,Scottsdale,AZ,33.5866127,-111.8475189,5.0,5,4,False,none,,,1.0,,,,,,
4154,0,Phoenix,AZ,33.5672322,-112.1361274,2.0,7,10,True,none,,,2.0,,,,,,
14895,1,Pittsburgh,PA,40.4630298,-79.9515819,4.0,85,75,True,none,average,casual,2.0,False,True,,False,True,
8327,1,Montral,QC,45.506441,-73.5540369,3.0,15,24,True,full_bar,very_loud,,3.0,,True,no,True,,
738,1,Conestogo,ON,43.5410635,-80.5031801,3.5,3,4,True,none,average,casual,1.0,False,,,True,,
12937,1,Phoenix,AZ,33.5238668,-112.1033639,4.0,26,53,True,full_bar,loud,,1.0,,False,no,False,,
9195,1,Las Vegas,NV,36.144553,-115.136886,2.5,5,28,True,none,average,casual,1.0,False,False,,False,False,
11133,1,Las Vegas,NV,36.1146152,-115.2252203,2.5,20,39,True,none,average,casual,2.0,False,True,,False,,
5287,1,Las Vegas,NV,36.195376,-115.2265,2.5,3,13,True,none,,casual,1.0,False,,,False,,
9435,1,Gilbert,AZ,33.2669731,-111.68752,2.0,13,29,True,none,,,,False,False,,,,
18688,1,Charlotte,NC,35.1967926,-80.82585907,4.0,75,158,True,full_bar,average,casual,2.0,False,True,,True,True,
11775,1,Phoenix,AZ,33.5044082,-111.9691642,4.0,12,44,True,full_bar,quiet,casual,3.0,False,True,outdoor,True,,
6954,0,Peoria,AZ,33.5944209,-112.221383,2.5,3,18,True,none,,casual,,False,,,,,
11769,0,Henderson,NV,36.038376,-115.030718,4.5,18,43,True,none,,,1.0,,,,,,
9754,1,Montral,QC,45.510213,-73.5523561,4.0,42,31,True,full_bar,average,dressy,3.0,False,True,,False,False,
9434,1,Peoria,AZ,33.5515304,-112.2707018,4.0,5,29,False,beer_and_wine,,,2.0,,False,no,False,,
8418,1,Champaign,IL,40.097774,-88.24573,3.5,17,25,True,beer_and_wine,average,casual,1.0,True,False,,False,True,
2132,0,Mt Lebanon,PA,40.3802964,-80.0525518,4.5,9,6,True,none,,,2.0,False,,,,,
11366,0,Charlotte,NC,35.22078354,-80.94052792,2.5,3,40,True,none,,,,,,,,,
8115,1,Edinburgh,EDH,55.9470993,-3.1973604,3.5,16,23,True,full_bar,,,2.0,,,outdoor,True,,
5403,1,Madison,WI,43.111265,-89.363442,3.0,24,14,True,full_bar,average,casual,2.0,False,False,,False,True,
12848,0,Las Vegas,NV,36.15216,-115.2429821,2.5,3,52,True,none,,,1.0,,,,True,,
3602,1,South Queensferry,EDH,55.9896342,-3.394274,3.5,4,9,True,full_bar,,,2.0,,,outdoor,,,
2900,1,Phoenix,AZ,33.4793036,-112.1346678,2.5,5,8,True,full_bar,very_loud,dressy,2.0,False,True,,False,,
149,1,Charlotte,NC,35.095238,-80.779082,2.0,5,3,True,none,average,casual,2.0,False,False,,True,,
12334,0,Charlotte,NC,35.3034346,-80.8578426,4.0,33,48,True,none,quiet,casual,2.0,True,False,,True,True,
5795,1,Montral,QC,45.5228427,-73.579989,3.5,24,15,False,full_bar,average,casual,3.0,False,True,,True,False,
18630,1,Peoria,AZ,33.71185496,-112.2758123,3.5,15,156,True,full_bar,average,casual,2.0,False,,,False,False,
10743,1,Montral,QC,45.5145751,-73.5740276,3.5,32,37,True,none,average,casual,1.0,False,False,,False,True,
5058,0,Montral,QC,45.5201031,-73.5662584,4.5,14,13,True,full_bar,quiet,casual,2.0,False,True,,True,,
13432,1,Surprise,AZ,33.63966274,-112.3579414,3.0,30,58,True,beer_and_wine,average,casual,1.0,False,False,,False,False,
13028,1,Glendale,AZ,33.5675175,-112.1704906,4.5,29,54,True,none,average,casual,1.0,False,True,,True,,
943,0,Mesa,AZ,33.43662338,-111.7213221,2.5,12,4,True,none,,,1.0,,,,,,
3655,0,Phoenix,AZ,33.625972,-112.134316,4.0,4,9,True,none,,,1.0,,,,,,
13763,1,Tempe,AZ,33.34947069,-111.9022513,3.5,16,61,True,none,average,casual,1.0,False,False,,False,,
495,0,Montreal,QC,45.540393,-73.6339554,3.0,5,3,True,none,,,,,,,,,
3222,0,Tempe,AZ,33.422948,-111.941693,4.0,10,8,True,none,,,1.0,,,,,,
10104,1,Champaign,IL,40.1368,-88.24507,3.0,28,33,True,full_bar,average,casual,2.0,False,True,,False,,
17980,1,Glendale,AZ,33.6131582,-112.167811,4.5,84,136,True,none,quiet,casual,1.0,False,True,,True,True,
19766,0,Pittsburgh,PA,40.4586225,-79.9294051,4.0,27,199,True,none,,,2.0,,True,,,,
3693,0,Charlotte,NC,35.2249244,-80.847242,3.5,6,9,False,none,,,,,,,,True,
16608,1,Las Vegas,NV,36.121239,-115.171338,3.0,55,104,True,beer_and_wine,loud,casual,1.0,False,True,,False,False,True
12076,1,Peoria,AZ,33.581252,-112.240716,4.0,36,46,True,none,average,casual,1.0,False,True,,False,True,
1929,1,Las Vegas,NV,36.06824971,-115.1772308,4.0,11,6,False,none,quiet,casual,2.0,False,False,,False,False,
14002,1,Henderson,NV,36.06531537,-115.0129964,1.5,7,64,True,none,average,casual,2.0,False,False,,False,False,
5059,1,Montral,QC,45.4927419,-73.6561103,2.5,14,13,True,none,loud,casual,3.0,False,False,,False,True,
16551,1,Pittsburgh,PA,40.460212,-79.925355,4.0,131,103,False,none,average,casual,2.0,False,True,,False,True,True
5863,1,Edinburgh,EDH,55.9800589,-3.1796685,3.0,6,15,True,full_bar,average,casual,2.0,False,False,,False,,
1701,0,Anthem,AZ,33.87391638,-112.1488452,1.0,3,5,True,none,,,,,,,,,
2626,0,Montreal,QC,45.5685574,-73.726826,4.5,3,7,True,none,,,2.0,,,,True,,
6779,0,Pittsburgh,PA,40.4381226,-80.0185522,2.0,14,18,True,full_bar,average,casual,3.0,False,True,,True,,
13179,1,Peoria,AZ,33.583709,-112.203243,2.0,7,55,True,none,very_loud,casual,1.0,False,,,True,,
7757,1,Urbana,IL,40.0833818,-88.1905185,3.0,24,22,True,beer_and_wine,average,casual,2.0,True,False,,False,,
1405,1,Chandler,AZ,33.3224444,-111.8416345,4.0,4,5,True,none,,casual,1.0,True,True,,False,,
2680,0,Montreal,QC,45.4711631,-73.626851,4.0,5,7,True,none,,,2.0,,,,,,
11993,1,Pineville,NC,35.0857058,-80.8789517,3.0,7,45,True,none,average,casual,2.0,False,,,False,,
8346,1,Weddington,NC,35.0264214,-80.7630651,4.0,13,24,True,none,,casual,1.0,False,False,,False,,
2469,1,Montral,QC,45.4973823,-73.6249601,4.5,7,7,True,beer_and_wine,,casual,2.0,False,True,,,False,
12981,1,Scottsdale,AZ,33.6119344,-111.9271523,3.5,23,54,True,none,quiet,casual,1.0,False,False,,True,False,
3635,0,Charlotte,NC,35.06862,-80.842617,2.5,5,9,False,none,,,1.0,,,,,,
18189,0,Chandler,AZ,33.265997,-111.7883898,4.5,32,142,True,none,,,1.0,,,,True,,
8746,1,Scottsdale,AZ,33.67445315,-111.8886799,3.5,15,26,True,full_bar,average,casual,2.0,False,,,True,,
19061,1,Glendale,AZ,33.66167049,-112.187,3.0,76,171,True,none,average,casual,2.0,False,,,True,False,
16048,1,Phoenix,AZ,33.4806911,-111.9926934,3.5,19,93,True,none,,casual,1.0,False,False,,True,,
11380,1,Pittsburgh,PA,40.472509,-79.961687,4.0,15,41,True,full_bar,average,casual,2.0,False,True,yes,False,True,
15013,0,Mount Lebanon,PA,40.3887221,-80.0496559,3.5,12,76,True,none,,,2.0,,,,True,,
5163,1,Pittsburgh,PA,40.441062,-80.002126,2.5,14,13,True,none,average,casual,2.0,False,,,False,,
12935,1,Charlotte,NC,35.233595,-80.879081,3.0,13,53,True,full_bar,loud,,2.0,,,outdoor,True,,
3892,1,Pittsburgh,PA,40.4512206,-79.9346006,3.0,19,10,False,none,average,casual,1.0,False,False,,True,,
8157,0,Tempe,AZ,33.393243,-111.952429,2.5,4,23,True,none,,,1.0,,,,,,
17011,1,Edinburgh,EDH,55.94598116,-3.19074848,4.5,106,112,True,beer_and_wine,average,casual,2.0,False,False,,False,False,
15103,1,Mesa,AZ,33.407765,-111.682463,3.0,30,78,True,full_bar,quiet,casual,2.0,False,True,,True,False,True
4250,1,Scottsdale,AZ,33.621158,-111.875696,3.5,8,11,False,none,quiet,casual,1.0,False,False,,True,True,
19146,1,Henderson,NV,36.040082,-115.047406,3.5,23,174,True,none,average,casual,1.0,False,False,,False,True,
9805,1,Mesa,AZ,33.437944,-111.683737,3.5,3,31,True,none,,casual,1.0,False,False,,,False,
19052,1,Las Vegas,NV,36.1030009,-115.1735161,3.5,51,171,True,none,loud,casual,2.0,False,False,,False,False,
8805,0,Phoenix,AZ,33.65615284,-112.0643127,4.0,9,26,True,none,,,1.0,,,,False,,
1493,0,Ettlingen,BW,48.9395,8.4176,3.5,23,5,True,full_bar,,,3.0,,,yes,True,,True
6053,0,Pittsburgh,PA,40.45924694,-79.91164349,5.0,4,15,True,none,,,,,,,False,,
1949,1,Phoenix,AZ,33.4804804,-112.1529177,4.5,4,6,True,full_bar,very_loud,casual,1.0,False,,,False,False,
10609,1,Phoenix,AZ,33.4606832,-112.1696783,2.5,7,36,True,none,,casual,1.0,False,True,,False,,
7665,0,Edinburgh,EDH,55.9582674,-3.2089955,4.0,16,21,True,none,,,2.0,,,,True,,
17704,1,Pineville,NC,35.083984,-80.882776,4.0,34,128,True,full_bar,average,casual,2.0,False,False,,True,False,
10149,1,Mesa,AZ,33.4514713,-111.8396625,2.5,8,33,True,none,average,casual,1.0,False,True,,False,False,
15039,1,Las Vegas,NV,36.101357,-115.120376,3.5,48,77,False,full_bar,average,casual,2.0,False,True,,True,True,True
4874,1,Chandler,AZ,33.3192377,-111.9294836,3.0,9,12,True,none,average,casual,2.0,True,,,False,,
5639,1,Pittsburgh,PA,40.4303589,-79.9773691,3.0,7,14,True,none,,casual,1.0,False,False,,False,False,
6440,0,Sun Prairie,WI,43.188072,-89.230853,4.5,12,17,True,none,average,casual,1.0,False,False,,False,True,
13012,1,Henderson,NV,35.964779,-115.168524,4.0,53,54,False,full_bar,average,casual,3.0,False,False,,True,,
